Noise_Intensity,Non_Seizure_Coherence,Non_Seizure_Coherence_STD,Seizure_Coherence,Seizure_Coherence_STD,Non_Seizure_CV,Seizure_CV,Non_Seizure_Transitions,Seizure_Transitions
0.5,0.9099521671929481,0.6006124804072482,0.886850123200526,0.4078324057139205,1.251292715188868,1.2656704483534007,26.83,28.08
1.0,0.8183542112849126,0.14945226679394544,0.8960846615159789,0.3066483510214604,1.2676675882096426,1.2172523353274545,49.08,41.59
1.5,0.846288982483508,0.1855737011080782,0.8567545359263575,0.21162303717941128,1.238924429696307,1.2341181758719786,56.45,54.15
2.0,0.883574789423077,0.21171612415041619,0.8987222955119718,0.2244216416321234,1.190336761434647,1.172007703600552,59.0,62.32
2.5,0.8945707812892055,0.15867655323437516,0.8972202554928019,0.20053697245016075,1.156662882018779,1.172861127809773,65.71,69.26
3.0,0.9175468203322307,0.19414781553652044,0.9498567380141172,0.18256059947964057,1.1397165691085778,1.092577233241959,75.92,72.67
3.5,0.9334755755187848,0.1881521115168342,0.964193705646186,0.2023517406139112,1.1152377963800923,1.084074801858871,78.88,78.61
4.0,0.9615903587592178,0.17008118763122287,0.9737497569965218,0.15438212258877274,1.0730764607083465,1.0546442862526297,84.33,81.29
4.5,0.970411481669831,0.1809332447745921,0.9433265015973629,0.16220468125959087,1.0669905693854727,1.0920638553078112,79.19,89.95
5.0,0.9715713870327343,0.18736536967467796,1.006883800852697,0.1727374303702191,1.069699190315733,1.0253805555798312,89.55,90.9
5.5,1.0162787417518566,0.1998730227796008,1.0119276823799397,0.19669904832044524,1.0188137209742638,1.0305385956469948,94.75,89.14
6.0,1.00485011068624,0.1858098632362803,1.0256732275939435,0.15301505798162476,1.0327549961689735,0.9967654833283308,95.57,96.18
6.5,1.014555975901593,0.1741384298172687,0.9841677730076807,0.18394122802404345,1.0144446299194247,1.051594837091125,99.21,98.69
7.0,1.0304044305147955,0.16744992910764944,1.0677498767868683,0.20210722281022225,0.9977877688920294,0.9694195320448297,101.61,101.78
7.5,1.0101027037099575,0.1737854483391449,1.0284519577375775,0.1667010890777495,1.0197408362451694,0.9975635539287425,104.84,104.08
8.0,1.051298667116775,0.18690869685605277,1.044791398309839,0.17225220047675302,0.9839596594144592,0.9862713002622993,107.02,104.42
8.5,1.0941118784280592,0.18236699584174035,1.1073289617874784,0.18644478301837686,0.9395014749755872,0.9309134870057499,107.77,106.34
9.0,1.1125982966103358,0.16381326003446423,1.1017196473007385,0.16927385329702813,0.91989572810202,0.9310335793495083,110.18,114.29
9.5,1.1091961418301401,0.18054451584504905,1.1046693311230453,0.17626190301017022,0.9243071292190644,0.9273971104050444,112.74,107.16
10.0,1.1054203192445617,0.1892211552293351,1.0825489169026983,0.168451820044169,0.9323899746163687,0.9458413798144042,114.45,113.98
10.5,1.0915127577729136,0.16008515951149044,1.1086227018466754,0.17480470625171418,0.9362398798016273,0.9254944281446076,116.66,116.33
11.0,1.1297130419203425,0.17185155439585323,1.1088216602421277,0.18513510032849437,0.9059057940200929,0.926769374480928,117.75,117.63
11.5,1.1154542827895166,0.19150589095352305,1.1228318456580024,0.15707948902444005,0.9236962062583028,0.9087452445096104,121.0,118.95
12.0,1.1571939633481698,0.18090591333079278,1.121339784364233,0.17262513013894912,0.8865027450227606,0.913557404034026,124.7,119.63
12.5,1.1490260258695941,0.16542207204196913,1.1183545164719986,0.17338554609109905,0.8868414323392152,0.9169557431274417,123.92,119.28
13.0,1.1470439666609586,0.1738228049474222,1.184461168883577,0.17307737520437605,0.8908568011907175,0.8619664518071349,124.82,124.44
13.5,1.1504611361514485,0.16274834417840617,1.1816105261700676,0.19175537051120323,0.8869243222026592,0.8699409169166572,132.74,131.32
14.0,1.1551482626952378,0.1635721820426866,1.200011009069807,0.19028167870509693,0.8840925343166118,0.8559113883061843,130.6,128.98
14.5,1.193102734065061,0.18196698887247043,1.1954977594990552,0.1477811703181959,0.8584329746647836,0.8497217698770854,129.73,129.57
15.0,1.1668723192788302,0.16532476410941851,1.1804828449114921,0.17223413698642445,0.8753070260023708,0.8662238764606903,131.14,131.01
15.5,1.1641568436602345,0.18507284452450604,1.1523250456767082,0.17571619514491174,0.8837629385853935,0.8887342831285892,135.02,132.15
16.0,1.2238255125738682,0.15404704730659038,1.2032737303269694,0.1799825937793217,0.8302818559768891,0.8497750947944737,137.52,135.47
16.5,1.2207141301302742,0.18415327343262797,1.2118996086532472,0.18435546771092326,0.8398496173525816,0.8431810326594372,136.94,137.06
17.0,1.2063700139098572,0.19083294435070777,1.2377580787096643,0.16496326948682646,0.8491617404424074,0.8225131798271265,139.5,140.31
17.5,1.2351223760836991,0.18116522778854782,1.2442188129905893,0.18201170353410207,0.8272352730715039,0.8217436362357327,137.53,137.79
18.0,1.2358702033054443,0.14469374392272477,1.2223308098330103,0.1659085921881063,0.8208141515115658,0.8339727343782046,143.87,136.51
18.5,1.233598795083253,0.17224862288617881,1.2123736698467051,0.17731069359834192,0.8268215368321651,0.8430410266450562,141.13,143.26
19.0,1.2507119804704052,0.16788968852234032,1.2491042522527598,0.18472893771223747,0.8147253300260499,0.8197111689594898,142.15,144.24
19.5,1.273320817488682,0.18358941856077043,1.2370423748926391,0.16948222884205985,0.8012465887433575,0.8241457940530297,144.8,143.67
20.0,1.2743949668884014,0.1861769687006519,1.2748153827595803,0.1810772020052082,0.802021484071523,0.8019912021356304,146.02,151.49
